,productName,ratingCount,favories,sellerPoint,price,productPoint,productQuestions
0,Roborock S5 Max Beyaz Akıllı Robot Süpürge roborocks5maxtr ,12133 ,331058 ,9.3,"6.078,05",0,0
1,Roborock S7 Sonic Mopping Akıllı Robot Süpürge s7 ,682 ,35134 ,9.8,"7.979,05",0,0
2,Xiaomi Mi Robot Vacuum Mop Pro 2 Mi Vacuum Mop 2 Pro+ ,2502 ,71719 ,9.8,"5.338,05",0,0
3,Xiaomi Mi Robot Vacuum Mop Pro Cleaner Robot Süpürge Ve Paspas Beyaz MOPPRO-B ,17892 ,452268 ,8.8,"5.154,24",0,0
4,Roborock S7 Sonic Mopping Akıllı Robot Süpürge Siyah TYC00196126126 ,61 ,6713 ,9.8,"8.055,05",0,0
5,Xiaomi Mi Vacuum Mop 2in1 Essential Robot Süpürge ve Paspas essential ,7423 ,252928 ,9.3,2.850,0,0
6,Xiaomi Mi Robot 1C Vacuum Mop - Kablosuz Süpürge VACUUMMOP ,14064 ,278778 ,9.3,"4.266,24",0,0
7,Dreame Vacuum Mop F9 Robot Süpürge (GENPA GARANTİLİ) MOPF9 ,1382 ,18152 ,9.1,"5.279,04",0,0
8,Xiaomi Mi Vacuum Mop Pro (Xiaomi TR Resmi Ürünü) Robot Süpürge Ve Paspas - Beyaz MOPPRO-BR1 ,142 ,10071 ,9.7,4.999,0,0
9,Roborock S5 Max Siyah Robot Süpürge Vacuum Cleaner S5 Max S5E52-00 Black ,1929 ,74595 ,9,6.099,0,0
10,Viomi V3 Vacuum Cleaner Lazer Sensör Robot Süpürge Ve Paspas V-RVCLM26B ,3109 ,59308 ,9.4,"5.053,05",0,0
11,Roborock S6 Maxv Aı Dual Cam 2 In 1 Robot Süpürge ROBOROCK S6 MAX V ,1664 ,52810 ,8.8,"6.863,75",0,0
12,Xiaomi Mi Robot Vacuum Mop Pro Cleaner Robot Süpürge Ve Paspas (İTHALATÇI GARANTİLİ) MOPPRO ,7289 ,155529 ,9,4.921,0,0
13,Viomi Alpha (S9) Toz Boşaltma Üniteli Akıllı Robot Süpürge s9 siyah ,85 ,4795 ,9.4,"6.905,56",0,0
14,+360 360 S7 Vacuum Mop Pro Cleaner Akıllı Robot Süpürge 6939662156890 ,284 ,11294 ,0,"4.652,08",0,0
15,Dreame Xiaomi Vacuum Mop D9 Robot Süpürge (GENPA GARANTİLİ) DD9 ,521 ,10305 ,9.7,"5.173,98",0,0
16,Roborock S6 Pure Robot Süpürge s6 ,1017 ,51237 ,9.8,"5.739,84",0,0
17,Lydsto R1 Toz Toplama Üniteli Akıllı Robot Süpürge Beyaz - ( Türkiye Garantili) P1246S4625 ,282 ,17204 ,9,6.498,0,0
18,ROBX R7 UV Sterilizasyon Akılı Çöp Boşaltma Üniteli Vacuum & Mop Robot Süpürge(Robx Türkiye Garantili) ,138 ,10392 ,9.7,"6.638,60",0,0
